machine_type,hazard_type,count,percentage
Aerial Lift,Burns,1,0.45
Aerial Lift,Caught-in,17,7.59
Aerial Lift,Collision,5,2.23
Aerial Lift,Contact-with,5,2.23
Aerial Lift,Electrocution,47,20.98
Aerial Lift,Fall,75,33.48
Aerial Lift,Other,13,5.8
Aerial Lift,Struck-by,48,21.43
Aerial Lift,Tip-over,13,5.8
Backhoe,Caught-in,20,18.02
Backhoe,Collision,2,1.8
Backhoe,Contact-with,2,1.8
Backhoe,Electrocution,1,0.9
Backhoe,Fall,7,6.31
Backhoe,Other,5,4.5
Backhoe,Pinch-Point,5,4.5
Backhoe,Struck-by,66,59.46
Backhoe,Tip-over,3,2.7
Bulldozer,Caught-in,3,5.56
Bulldozer,Collision,2,3.7
Bulldozer,Fall,9,16.67
Bulldozer,Other,13,24.07
Bulldozer,Pinch-Point,2,3.7
Bulldozer,Run-over,1,1.85
Bulldozer,Struck-by,19,35.19
Bulldozer,Tip-over,5,9.26
Concrete Mixer,Caught-in,14,66.67
Concrete Mixer,Contact-with,1,4.76
Concrete Mixer,Fall,1,4.76
Concrete Mixer,Other,3,14.29
Concrete Mixer,Pinch-Point,1,4.76
Concrete Mixer,Struck-by,1,4.76
Concrete Pump,Caught-in,10,52.63
Concrete Pump,Fall,3,15.79
Concrete Pump,Other,1,5.26
Concrete Pump,Struck-by,5,26.32
Crane,Burns,3,0.54
Crane,Caught-in,139,24.91
Crane,Contact-with,7,1.25
Crane,Electrocution,18,3.23
Crane,Fall,117,20.97
Crane,Other,17,3.05
Crane,Pinch-Point,7,1.25
Crane,Struck-by,242,43.37
Crane,Tip-over,8,1.43
Dump Truck,Back-over,1,0.69
Dump Truck,Burns,1,0.69
Dump Truck,Caught-in,18,12.41
Dump Truck,Collision,4,2.76
Dump Truck,Contact-with,2,1.38
Dump Truck,Electrocution,6,4.14
Dump Truck,Fall,34,23.45
Dump Truck,Other,8,5.52
Dump Truck,Pinch-Point,2,1.38
Dump Truck,Run-over,1,0.69
Dump Truck,Struck-by,59,40.69
Dump Truck,Tip-over,9,6.21
Excavator,Back-over,1,0.22
Excavator,Burns,3,0.66
Excavator,Caught-in,69,15.16
Excavator,Collision,4,0.88
Excavator,Contact-with,6,1.32
Excavator,Electrocution,6,1.32
Excavator,Fall,52,11.43
Excavator,Other,19,4.18
Excavator,Pinch-Point,5,1.1
Excavator,Run-over,2,0.44
Excavator,Struck-by,276,60.66
Excavator,Tip-over,12,2.64
Forklift,Back-over,4,0.7
Forklift,Burns,1,0.17
Forklift,Caught-in,79,13.74
Forklift,Collision,9,1.57
Forklift,Contact-with,4,0.7
Forklift,Electrocution,5,0.87
Forklift,Fall,117,20.35
Forklift,Other,15,2.61
Forklift,Pinch-Point,21,3.65
Forklift,Run-over,1,0.17
Forklift,Struck-by,296,51.48
Forklift,Tip-over,23,4.0
Grader,Caught-in,2,13.33
Grader,Fall,4,26.67
Grader,Other,1,6.67
Grader,Run-over,1,6.67
Grader,Struck-by,7,46.67
Loader,Back-over,4,1.18
Loader,Caught-in,51,15.04
Loader,Collision,13,3.83
Loader,Contact-with,4,1.18
Loader,Electrocution,3,0.88
Loader,Fall,39,11.5
Loader,Other,17,5.01
Loader,Pinch-Point,9,2.65
Loader,Run-over,4,1.18
Loader,Struck-by,187,55.16
Loader,Tip-over,8,2.36
Paver,Back-over,1,3.7
Paver,Burns,1,3.7
Paver,Caught-in,1,3.7
Paver,Collision,1,3.7
Paver,Contact-with,1,3.7
Paver,Electrocution,2,7.41
Paver,Fall,8,29.63
Paver,Other,4,14.81
Paver,Pinch-Point,2,7.41
Paver,Struck-by,6,22.22
Pile Driver,Caught-in,3,50.0
Pile Driver,Struck-by,3,50.0
Roller,Burns,2,1.61
Roller,Caught-in,46,37.1
Roller,Collision,4,3.23
Roller,Contact-with,1,0.81
Roller,Fall,14,11.29
Roller,Other,3,2.42
Roller,Pinch-Point,5,4.03
Roller,Run-over,4,3.23
Roller,Struck-by,26,20.97
Roller,Tip-over,19,15.32
Trencher,Burns,1,12.5
Trencher,Caught-in,2,25.0
Trencher,Collision,1,12.5
Trencher,Fall,2,25.0
Trencher,Other,1,12.5
Trencher,Tip-over,1,12.5
Truck,Back-over,10,0.62
Truck,Burns,29,1.81
Truck,Caught-in,231,14.38
Truck,Collision,23,1.43
Truck,Contact-with,60,3.74
Truck,Electrocution,80,4.98
Truck,Fall,515,32.07
Truck,Other,78,4.86
Truck,Pinch-Point,27,1.68
Truck,Run-over,17,1.06
Truck,Struck-by,488,30.39
Truck,Tip-over,48,2.99
