machine_type,task_type,time_of_day,weather_condition,month,day_of_week,context_risk_score,hazard_type,severity_score
Aerial Lift,General Construction,Unknown,Clear/Unknown,1,Friday,39.66,Struck-by,1.0
Truck,General Construction,Unknown,Snow/Ice,1,Monday,91.71,Fall,1.0
Truck,Maintenance,Unknown,Clear/Unknown,1,Wednesday,40.13,Fall,1.0
Truck,Loading/Unloading,Morning,Clear/Unknown,1,Thursday,46.29,Fall,1.0
Forklift,General Construction,Unknown,Clear/Unknown,1,Thursday,46.43,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,1,Thursday,46.43,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,1,Friday,36.59,Burns,1.0
Forklift,General Construction,Unknown,Clear/Unknown,1,Monday,43.16,Tip-over,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,1,Tuesday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,1,Wednesday,47.19,Caught-in,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,1,Friday,32.43,Contact-with,1.0
Truck,Maintenance,Unknown,Clear/Unknown,1,Friday,40.13,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,1,Friday,50.92,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,1,Friday,55.45,Struck-by,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,1,Monday,39.83,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,1,Tuesday,47.19,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,1,Tuesday,55.45,Struck-by,1.0
Excavator,General Construction,Unknown,Clear/Unknown,1,Wednesday,45.36,Struck-by,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,1,Friday,40.47,Tip-over,1.0
Loader,General Construction,Unknown,Clear/Unknown,1,Monday,59.12,Contact-with,4.0
Truck,Maintenance,Night,Clear/Unknown,1,Monday,91.69,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,1,Tuesday,60.57,Caught-in,3.0
Crane,General Construction,Unknown,Clear/Unknown,1,Wednesday,26.38,Other,1.0
Backhoe,Excavation,Unknown,Clear/Unknown,1,Wednesday,38.8,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,1,Thursday,77.45,Struck-by,3.0
Truck,Operating,Unknown,Clear/Unknown,1,Thursday,40.63,Fall,1.0
Loader,General Construction,Unknown,Clear/Unknown,1,Friday,80.9,Caught-in,5.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,1,Friday,50.92,Fall,1.0
Excavator,General Construction,Unknown,Clear/Unknown,2,Monday,45.36,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,2,Wednesday,50.92,Fall,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,2,Wednesday,37.54,Fall,1.0
Forklift,Operating,Unknown,Clear/Unknown,2,Friday,59.05,Caught-in,3.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,2,Friday,37.54,Fall,1.0
Roller,Maintenance,Unknown,Clear/Unknown,2,Friday,33.78,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,2,Friday,50.92,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,2,Saturday,75.96,Caught-in,4.0
Backhoe,Loading/Unloading,Unknown,Clear/Unknown,2,Monday,34.89,Caught-in,1.0
Roller,General Construction,Unknown,Clear/Unknown,2,Tuesday,58.79,Caught-in,3.0
Dump Truck,General Construction,Unknown,Clear/Unknown,2,Tuesday,34.15,Burns,1.0
Dump Truck,Loading/Unloading,Unknown,Clear/Unknown,2,Wednesday,45.79,Other,3.0
Truck,General Construction,Unknown,Clear/Unknown,2,Monday,43.86,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,2,Monday,43.86,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,2,Thursday,50.92,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,2,Saturday,38.65,Fall,1.0
Backhoe,General Construction,Unknown,Clear/Unknown,2,Sunday,39.83,Struck-by,1.0
Crane,Setup/Positioning,Unknown,Clear/Unknown,2,Tuesday,42.0,Struck-by,1.0
Crane,General Construction,Unknown,Clear/Unknown,2,Wednesday,73.14,Caught-in,4.0
Forklift,General Construction,Unknown,Clear/Unknown,2,Wednesday,46.43,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,2,Wednesday,33.33,Contact-with,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,2,Thursday,50.92,Fall,1.0
Truck,Mounting/Dismounting,Unknown,Clear/Unknown,2,Friday,32.25,Contact-with,1.0
Crane,General Construction,Unknown,Clear/Unknown,2,Saturday,45.57,Struck-by,1.0
Forklift,General Construction,Unknown,Clear/Unknown,3,Monday,35.62,Fall,1.0
Truck,General Construction,Unknown,Snow/Ice,3,Wednesday,91.71,Fall,1.0
Truck,General Construction,Afternoon,Rain,3,Wednesday,80.65,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,3,Thursday,43.45,Struck-by,1.0
Backhoe,Excavation,Unknown,Clear/Unknown,3,Friday,25.14,Contact-with,1.0
Crane,General Construction,Unknown,Clear/Unknown,3,Friday,45.57,Struck-by,1.0
Loader,General Construction,Unknown,Clear/Unknown,3,Friday,43.45,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,3,Saturday,43.86,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Saturday,50.92,Fall,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,3,Sunday,38.65,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Monday,50.92,Fall,1.0
Truck,Loading/Unloading,Unknown,Snow/Ice,3,Monday,100.0,Fall,1.0
Crane,General Construction,Unknown,Clear/Unknown,3,Monday,40.14,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,3,Tuesday,69.19,Caught-in,3.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Wednesday,50.92,Fall,1.0
Crane,General Construction,Unknown,Clear/Unknown,3,Thursday,78.57,Struck-by,4.0
Excavator,Excavation,Unknown,Clear/Unknown,3,Thursday,36.45,Caught-in,1.0
Truck,General Construction,Unknown,Clear/Unknown,3,Monday,48.58,Tip-over,1.0
Crane,General Construction,Unknown,Clear/Unknown,3,Tuesday,45.57,Struck-by,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Tuesday,50.92,Fall,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Wednesday,64.96,Caught-in,3.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Wednesday,50.92,Fall,1.0
Roller,General Construction,Unknown,Clear/Unknown,3,Friday,58.79,Caught-in,3.0
Forklift,General Construction,Unknown,Clear/Unknown,3,Friday,29.69,Pinch-Point,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,3,Monday,49.65,Fall,2.0
Backhoe,General Construction,Unknown,Clear/Unknown,3,Monday,39.83,Struck-by,1.0
Truck,General Construction,Unknown,Clear/Unknown,3,Monday,55.45,Struck-by,1.0
Forklift,Loading/Unloading,Unknown,Clear/Unknown,3,Tuesday,59.36,Caught-in,3.0
Roller,General Construction,Unknown,Clear/Unknown,3,Tuesday,36.79,Caught-in,1.0
Truck,Loading/Unloading,Unknown,Clear/Unknown,3,Wednesday,50.92,Fall,1.0
Forklift,Setup/Positioning,Unknown,Clear/Unknown,3,Wednesday,35.0,Fall,1.0
Crane,General Construction,Unknown,Clear/Unknown,3,Wednesday,40.14,Caught-in,1.0
Crane,General Construction,Unknown,Clear/Unknown,3,Wednesday,45.57,Struck-by,1.0
Truck,Loading/Unloading,Night,Clear/Unknown,3,Wednesday,100.0,Fall,1.0
Truck,General Construction,Unknown,Clear/Unknown,3,Thursday,44.11,Collision,1.0
Aerial Lift,General Construction,Unknown,Clear/Unknown,3,Thursday,40.79,Electrocution,1.0
Crane,Loading/Unloading,Unknown,Clear/Unknown,3,Friday,38.65,Fall,1.0
